team_name,team_location,team_mascot,team_abbr,team_code,team_id_num,level,league_name,parent_org_name,parent_org_id,team_logo,team_cap_logo_on_light,team_dot_logo
San Diego Padres,San Diego,Padres,SD,sdn,135,MLB,National League,San Diego Padres,135,https://www.mlbstatic.com/team-logos/135.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/135.svg,https://midfield.mlbstatic.com/v1/team/135/spots/500
El Paso Chihuahuas,El Paso,Chihuahuas,ELP,elp,4904,AAA,Pacific Coast League,San Diego Padres,135,https://www.mlbstatic.com/team-logos/4904.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/4904.svg,https://midfield.mlbstatic.com/v1/team/4904/spots/500
San Antonio Missions,San Antonio,Missions,SA,san,510,AA,Texas League,San Diego Padres,135,https://www.mlbstatic.com/team-logos/510.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/510.svg,https://midfield.mlbstatic.com/v1/team/510/spots/500
Fort Wayne TinCaps,Fort Wayne,TinCaps,FW,ftw,584,A+,Midwest League,San Diego Padres,135,https://www.mlbstatic.com/team-logos/584.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/584.svg,https://midfield.mlbstatic.com/v1/team/584/spots/500
Lake Elsinore Storm,Lake Elsinore,Storm,LE,les,103,A,California League,San Diego Padres,135,https://www.mlbstatic.com/team-logos/103.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/103.svg,https://midfield.mlbstatic.com/v1/team/103/spots/500
DSL Giants Black,DSL Giants Black,DSL Giants Black,D-GIB,dgb,2134,Rookie,Dominican Summer League,San Francisco Giants,137,https://www.mlbstatic.com/team-logos/2134.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/2134.svg,https://midfield.mlbstatic.com/v1/team/2134/spots/500
DSL Giants Orange,DSL Giants Orange,DSL Giants Orange,D-GIO,dgo,615,Rookie,Dominican Summer League,San Francisco Giants,137,https://www.mlbstatic.com/team-logos/615.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/615.svg,https://midfield.mlbstatic.com/v1/team/615/spots/500
ACL Giants,ACL Giants,ACL Giants,A-GIA,agb,408,Rookie,Arizona Complex League,San Francisco Giants,137,https://www.mlbstatic.com/team-logos/408.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/408.svg,https://midfield.mlbstatic.com/v1/team/408/spots/500
San Francisco Giants,San Francisco,Giants,SF,sfn,137,MLB,National League,San Francisco Giants,137,https://www.mlbstatic.com/team-logos/137.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/137.svg,https://midfield.mlbstatic.com/v1/team/137/spots/500
Sacramento River Cats,Sacramento,River Cats,SAC,src,105,AAA,Pacific Coast League,San Francisco Giants,137,https://www.mlbstatic.com/team-logos/105.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/105.svg,https://midfield.mlbstatic.com/v1/team/105/spots/500
Richmond Flying Squirrels,Richmond,Flying Squirrels,RIC,ric,3410,AA,Eastern League,San Francisco Giants,137,https://www.mlbstatic.com/team-logos/3410.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/3410.svg,https://midfield.mlbstatic.com/v1/team/3410/spots/500
Eugene Emeralds,Eugene,Emeralds,EUG,eug,461,A+,Northwest League,San Francisco Giants,137,https://www.mlbstatic.com/team-logos/461.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/461.svg,https://midfield.mlbstatic.com/v1/team/461/spots/500
San Jose Giants,San Jose,Giants,SJ,sjg,476,A,California League,San Francisco Giants,137,https://www.mlbstatic.com/team-logos/476.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/476.svg,https://midfield.mlbstatic.com/v1/team/476/spots/500
ACL Mariners,ACL Mariners,ACL Mariners,A-MRN,asm,409,Rookie,Arizona Complex League,Seattle Mariners,136,https://www.mlbstatic.com/team-logos/409.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/409.svg,https://midfield.mlbstatic.com/v1/team/409/spots/500
DSL Mariners,DSL Mariners,DSL Mariners,D-MRN,dma,618,Rookie,Dominican Summer League,Seattle Mariners,136,https://www.mlbstatic.com/team-logos/618.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/618.svg,https://midfield.mlbstatic.com/v1/team/618/spots/500
Seattle Mariners,Seattle,Mariners,SEA,sea,136,MLB,American League,Seattle Mariners,136,https://www.mlbstatic.com/team-logos/136.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/136.svg,https://midfield.mlbstatic.com/v1/team/136/spots/500
Tacoma Rainiers,Tacoma,Rainiers,TAC,tac,529,AAA,Pacific Coast League,Seattle Mariners,136,https://www.mlbstatic.com/team-logos/529.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/529.svg,https://midfield.mlbstatic.com/v1/team/529/spots/500
Arkansas Travelers,Arkansas,Travelers,ARK,ark,574,AA,Texas League,Seattle Mariners,136,https://www.mlbstatic.com/team-logos/574.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/574.svg,https://midfield.mlbstatic.com/v1/team/574/spots/500
Everett AquaSox,Everett,AquaSox,EVE,eve,403,A+,Northwest League,Seattle Mariners,136,https://www.mlbstatic.com/team-logos/403.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/403.svg,https://midfield.mlbstatic.com/v1/team/403/spots/500
Modesto Nuts,Modesto,Nuts,MOD,mod,515,A,California League,Seattle Mariners,136,https://www.mlbstatic.com/team-logos/515.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/515.svg,https://midfield.mlbstatic.com/v1/team/515/spots/500
DSL Cardinals,DSL Cardinals,DSL Cardinals,D-CAR,dca,608,Rookie,Dominican Summer League,St. Louis Cardinals,138,https://www.mlbstatic.com/team-logos/608.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/608.svg,https://midfield.mlbstatic.com/v1/team/608/spots/500
FCL Cardinals,FCL Cardinals,FCL Cardinals,F-CAR,fca,1370,Rookie,Florida Complex League,St. Louis Cardinals,138,https://www.mlbstatic.com/team-logos/1370.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/1370.svg,https://midfield.mlbstatic.com/v1/team/1370/spots/500
St. Louis Cardinals,St. Louis,Cardinals,STL,sln,138,MLB,National League,St. Louis Cardinals,138,https://www.mlbstatic.com/team-logos/138.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/138.svg,https://midfield.mlbstatic.com/v1/team/138/spots/500
Memphis Redbirds,Memphis,Redbirds,MEM,mrb,235,AAA,International League,St. Louis Cardinals,138,https://www.mlbstatic.com/team-logos/235.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/235.svg,https://midfield.mlbstatic.com/v1/team/235/spots/500
Springfield Cardinals,Springfield,Cardinals,SPR,spr,440,AA,Texas League,St. Louis Cardinals,138,https://www.mlbstatic.com/team-logos/440.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/440.svg,https://midfield.mlbstatic.com/v1/team/440/spots/500
Peoria Chiefs,Peoria,Chiefs,PEO,peo,443,A+,Midwest League,St. Louis Cardinals,138,https://www.mlbstatic.com/team-logos/443.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/443.svg,https://midfield.mlbstatic.com/v1/team/443/spots/500
Palm Beach Cardinals,Palm Beach,Cardinals,PMB,pbc,279,A,Florida State League,St. Louis Cardinals,138,https://www.mlbstatic.com/team-logos/279.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/279.svg,https://midfield.mlbstatic.com/v1/team/279/spots/500
FCL Rays,FCL Rays,FCL Rays,F-RAY,fra,2003,Rookie,Florida Complex League,Tampa Bay Rays,139,https://www.mlbstatic.com/team-logos/2003.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/2003.svg,https://midfield.mlbstatic.com/v1/team/2003/spots/500
DSL Rays,DSL Rays,DSL Rays,D-RAY,dry,1611,Rookie,Dominican Summer League,Tampa Bay Rays,139,https://www.mlbstatic.com/team-logos/1611.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/1611.svg,https://midfield.mlbstatic.com/v1/team/1611/spots/500
DSL Tampa Bay,DSL Tampa Bay,DSL Tampa Bay,D-TAM,dtb,5086,Rookie,Dominican Summer League,Tampa Bay Rays,139,https://www.mlbstatic.com/team-logos/5086.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/5086.svg,https://midfield.mlbstatic.com/v1/team/5086/spots/500
Tampa Bay Rays,Tampa Bay,Rays,TB,tba,139,MLB,American League,Tampa Bay Rays,139,https://www.mlbstatic.com/team-logos/139.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/139.svg,https://midfield.mlbstatic.com/v1/team/139/spots/500
Durham Bulls,Durham,Bulls,DUR,drm,234,AAA,International League,Tampa Bay Rays,139,https://www.mlbstatic.com/team-logos/234.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/234.svg,https://midfield.mlbstatic.com/v1/team/234/spots/500
Montgomery Biscuits,Montgomery,Biscuits,MTG,mon,421,AA,Southern League,Tampa Bay Rays,139,https://www.mlbstatic.com/team-logos/421.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/421.svg,https://midfield.mlbstatic.com/v1/team/421/spots/500
Bowling Green Hot Rods,Bowling Green,Hot Rods,BG,bgr,2498,A+,South Atlantic League,Tampa Bay Rays,139,https://www.mlbstatic.com/team-logos/2498.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/2498.svg,https://midfield.mlbstatic.com/v1/team/2498/spots/500
